Rank,ADP,Pos,Name,Team,Bye,Comp,Yards,TD,Int,Att,Yards,TD,Fum,Rec,Yards,TD,Fantasy Points,Average Auction
116,69,RB,"Gore, Frank",IND,10,0,0,0,0,247,1126,5,3,32,274,4,99,$14
117,105,WR,"Jackson, Vincent",TBB,6,0,0,0,0,0,0,0,1,73,1045,4,97,$9
118,198,WR,"Baldwin, Doug",SEA,9,0,0,0,0,5,28,0,1,66,915,5,96,$3
119,24,RB,"Forte, Matt",CHI,7,0,0,0,0,269,1137,7,2,65,535,4,96,$27
120,375,TE,"Quarless, Andrew",GBP,7,0,0,0,0,0,0,0,0,35,377,4,96,$1
121,152,WR,"Williams, Terrance",DAL,6,0,0,0,0,1,2,0,1,32,617,8,95,$3
122,117,WR,"Moncrief, Donte",IND,10,0,0,0,0,3,4,0,0,55,625,5,94,$5
123,133,WR,"Garcon, Pierre",WAS,8,0,0,0,0,1,2,0,0,69,871,3,93,$6
124,566,TE,"Kendricks, Lance",STL,6,0,0,0,0,0,0,0,0,29,281,6,93,$1
125,4,RB,"Bell, Le'Veon",PIT,11,0,0,0,0,313,1275,11,1,71,716,2,93,$38
126,116,WR,"Brown, John",ARI,9,0,0,0,0,2,0,0,0,52,709,5,91,$6
127,314,WR,"Douglas, Harry",TEN,4,0,0,0,0,0,0,0,0,55,687,5,91,$1
128,249,QB,"Sanchez, Mark",PHI,8,77,951,9,5,18,31,1,1,0,0,0,90,$1
129,167,WR,"Crabtree, Michael",OAK,6,0,0,0,0,0,0,0,0,63,702,4,90,$3
130,146,WR,"Quick, Brian",STL,6,0,0,0,0,5,31,0,0,54,840,5,90,$4
131,320,TE,"Chandler, Scott",NEP,4,0,0,0,0,1,0,0,0,35,368,3,89,$1
132,158,WR,"Randle, Rueben",NYG,11,0,0,0,0,1,2,0,0,65,965,4,89,$4
133,249,WR,"Floyd, Malcom",SDC,10,0,0,0,0,0,0,0,0,53,814,6,89,$2
134,64,WR,"White, Kevin",CHI,7,0,0,0,0,5,27,0,1,67,783,3,88,$13
135,238,WR,"Shorts, Cecil",HOU,9,0,0,0,0,1,0,0,1,65,704,3,86,$2
136,270,WR,"Amendola, Danny",NEP,4,0,0,0,0,1,0,0,0,49,516,5,85,$2
137,175,WR,"Jones, Marvin",CIN,7,0,0,0,0,8,14,0,1,49,609,6,85,$3
138,126,WR,"Stills, Kenny",MIA,5,0,0,0,0,1,0,0,1,58,662,4,85,$4
139,,TE,"Pitta, Dennis",BAL,9,0,0,0,0,0,0,0,0,40,322,2,84,$
140,38,RB,"Foster, Arian",HOU,9,0,0,0,0,230,1039,4,1,34,284,4,84,$24
141,211,WR,"Wheaton, Markus",PIT,11,0,0,0,0,3,12,0,0,57,688,4,84,$2
142,23,RB,"Hill, Jeremy",CIN,7,0,0,0,0,267,1250,11,1,39,301,1,84,$26
143,328,TE,"Cumberland, Jeff",NYJ,5,0,0,0,0,0,0,0,0,28,328,4,84,$1
144,42,RB,"Hyde, Carlos",SFO,10,0,0,0,0,279,1325,10,3,26,171,1,84,$17
145,132,WR,"Funchess, Devin",CAR,5,0,0,0,0,1,3,0,1,56,653,4,83,$5
146,232,WR,"Bailey, Stedman",STL,6,0,0,0,0,11,68,1,0,39,503,5,81,$1
147,233,WR,"Hurns, Allen",JAC,8,0,0,0,0,1,1,0,0,51,593,4,81,$2
148,325,RB,"Smith, Antone",ATL,10,0,0,0,0,39,226,4,1,18,198,2,81,$1
149,229,WR,"Beasley, Cole",DAL,6,0,0,0,0,0,1,0,2,47,564,5,80,$2
150,236,WR,"Woods, Robert",BUF,8,0,0,0,0,0,0,0,1,55,596,4,79,$1
151,297,WR,"Streater, Rod",OAK,6,0,0,0,0,2,12,0,1,46,562,5,79,$1
152,273,QB,"Mettenberger, Zach",TEN,4,94,1109,9,7,14,42,0,4,0,0,0,79,$1
153,236,TE,"Green, Virgil",DEN,7,0,0,0,0,2,5,0,1,22,465,2,78,$2
154,208,RB,"Riddick, Theo",DET,9,0,0,0,0,59,350,1,0,60,531,6,78,$2
155,222,WR,"Sanu, Mohamed",CIN,7,0,0,0,0,9,52,0,0,46,615,4,76,$2
156,267,TE,"Housler, Robert",CLE,11,0,0,0,0,1,1,0,0,25,396,2,76,$1
157,284,WR,"Kearse, Jermaine",SEA,9,0,0,0,0,3,16,0,0,40,650,5,76,$1
158,225,TE,"Lewis, Marcedes",JAC,8,0,0,0,0,0,0,0,0,23,293,4,76,$0
159,269,QB,"Fitzpatrick, Ryan",NYJ,5,66,810,6,3,16,58,1,0,0,0,0,76,$1
160,229,QB,"Henne, Chad",JAC,8,88,912,7,3,7,35,0,1,0,0,0,76,$1
161,88,RB,"Randle, Joseph",DAL,6,0,0,0,0,240,1150,11,3,30,220,0,75,$12
162,300,TE,"Willson, Luke",SEA,9,0,0,0,0,0,0,0,0,24,311,3,73,$1
163,212,WR,"Britt, Kenny",STL,6,0,0,0,0,3,19,0,0,49,743,3,73,$2
164,124,RB,"Blount, LeGarrette",NEP,4,0,0,0,0,163,711,10,1,31,210,1,72,$6
165,98,WR,"Perriman, Breshad",BAL,9,0,0,0,0,1,0,0,1,53,656,3,71,$9
166,329,QB,"Cousins, Kirk",WAS,8,103,1201,5,4,8,45,0,3,0,0,0,70,$1
167,300,QB,"Stanton, Drew",ARI,9,65,928,5,2,10,26,0,0,0,0,0,69,$1
168,286,QB,"Manuel, E.J.",BUF,8,54,600,6,2,13,33,1,0,0,0,0,69,$1
169,35,RB,"Gordon, Melvin",SDC,10,0,0,0,0,218,891,7,1,35,310,2,69,$23
170,22,RB,"Murray, DeMarco",PHI,8,0,0,0,0,266,1250,11,4,35,278,0,69,$27
171,134,RB,"Davis, Knile",KCC,9,0,0,0,0,150,505,7,1,25,225,2,69,$4
172,230,TE,"Rodgers, Richard",GBP,7,0,0,0,0,0,0,0,0,25,260,3,69,$1
173,339,WR,"Parker, Preston",NYG,11,0,0,0,0,1,2,0,1,50,600,3,68,$1
174,138,TE,"Hill, Josh",NOS,11,0,0,0,0,0,0,0,0,24,266,3,68,$5
175,85,WR,"Adams, Davante",GBP,7,0,0,0,0,0,0,0,0,41,520,4,68,$8
176,303,WR,"Wright, Jarius",MIN,5,0,0,0,0,3,19,0,0,37,531,4,67,$1
177,367,TE,"Ford, Chase",MIN,5,0,0,0,0,0,0,0,0,30,367,0,66,$0
178,51,RB,"Forsett, Justin",BAL,9,0,0,0,0,175,975,7,1,65,475,2,66,$17
179,85,RB,"Crowell, Isaiah",CLE,11,0,0,0,0,194,735,9,3,20,181,1,66,$7
180,258,TE,"Toilolo, Levine",ATL,10,0,0,0,0,0,0,0,1,31,255,2,66,$1
181,124,WR,"Latimer, Cody",DEN,7,0,0,0,0,0,0,0,0,53,535,2,65,$4
182,,WR,"Jones, James",NYG,11,0,0,0,0,0,0,0,0,40,370,4,64,$
183,60,RB,"Yeldon, T.J.",JAC,8,0,0,0,0,222,915,7,2,44,315,1,63,$15
184,85,WR,"Parker, DeVante",MIA,5,0,0,0,0,1,3,0,1,51,565,2,63,$10
185,283,WR,"Jennings, Greg",MIA,5,0,0,0,0,1,1,0,1,44,550,3,62,$1
186,202,WR,"Johnson, Stevie",SDC,10,0,0,0,0,1,7,0,0,43,501,3,61,$3
187,205,WR,"Bowe, Dwayne",CLE,11,0,0,0,0,0,2,0,0,55,711,1,61,$3
188,75,RB,"Abdullah, Ameer",DET,9,0,0,0,0,136,765,4,1,46,430,3,60,$13
189,55,RB,"Morris, Alfred",WAS,8,0,0,0,0,261,1125,9,2,13,119,0,60,$15
190,50,RB,"Ingram, Mark",NOS,11,0,0,0,0,255,1175,10,2,44,257,0,60,$15
191,66,RB,"Spiller, C.J.",NOS,11,0,0,0,0,188,675,4,3,56,431,3,60,$14
192,75,RB,"Stewart, Jonathan",CAR,5,0,0,0,0,241,1121,5,2,28,186,2,60,$10
193,268,WR,"Hawkins, Andrew",CLE,11,0,0,0,0,2,11,0,0,46,625,2,58,$1
194,38,RB,"Gurley, Todd",STL,6,0,0,0,0,221,875,7,2,52,386,1,57,$22
195,133,RB,"Mathews, Ryan",PHI,8,0,0,0,0,146,650,9,0,32,207,0,57,$5
196,305,TE,"Tamme, Jacob",ATL,10,0,0,0,0,0,0,0,1,23,171,3,56,$1
197,,QB,"Hasselbeck, Matt",IND,10,70,740,5,1,18,0,0,3,0,0,0,56,$0
198,238,WR,"Toon, Nick",NOS,11,0,0,0,0,3,8,0,2,44,553,2,56,$1
199,345,WR,"Roberts, Andre",WAS,8,0,0,0,0,2,8,0,2,38,493,3,56,$1
200,316,WR,"Ellington, Bruce",SFO,10,0,0,0,0,2,8,1,0,20,241,4,56,$1
201,308,WR,"Hartline, Brian",CLE,11,0,0,0,0,2,9,0,0,43,589,2,55,$1
202,314,TE,"Gillmore, Crockett",BAL,9,0,0,0,0,0,0,0,0,20,236,2,55,$1
203,261,WR,"Wilson, Albert",KCC,9,0,0,0,0,2,3,0,0,36,522,3,54,$1
204,287,TE,"Harris, Demetrius",KCC,9,0,0,0,0,0,0,0,0,23,253,1,54,$1
205,63,RB,"Bernard, Giovani",CIN,7,0,0,0,0,177,723,4,1,49,388,2,54,$11
206,143,RB,"Ivory, Chris",NYJ,5,0,0,0,0,201,876,6,1,15,95,1,54,$5
207,250,QB,"Manziel, Johnny",CLE,11,46,550,1,1,13,65,3,1,0,0,0,53,$2
208,346,TE,"Sims, Dion",MIA,5,0,0,0,0,0,0,0,0,20,214,2,53,$1
209,296,WR,"Aiken, Kamar",BAL,9,0,0,0,0,1,1,0,0,29,312,4,53,$1
210,319,WR,"Hester, Devin",ATL,10,0,0,0,0,5,25,1,1,28,358,2,52,$2
211,349,WR,"Kerley, Jeremy",NYJ,5,0,0,0,0,8,49,0,0,40,450,2,52,$1
212,264,TE,"Paul, Niles",WAS,8,0,0,0,0,0,0,0,1,22,253,1,51,$1
213,518,TE,"Fasano, Anthony",TEN,4,0,0,0,0,0,0,0,0,17,165,3,51,$1
214,315,TE,"Wright, Tim",TBB,6,0,0,0,0,1,0,0,0,16,173,3,51,$1
215,21,RB,"McCoy, LeSean",BUF,8,0,0,0,0,287,1216,6,3,51,348,1,51,$27
216,348,WR,"Brown, Philly",CAR,5,0,0,0,0,11,63,0,1,41,525,1,50,$1
217,315,TE,"Harbor, Clay",JAC,8,0,0,0,0,0,0,0,0,25,257,0,50,$1
218,215,WR,"Huff, Josh",PHI,8,0,0,0,0,0,0,0,2,43,536,1,49,$2
219,,TE,"Fells, Daniel",NYG,11,0,0,0,0,0,1,0,1,16,176,3,49,$0
220,180,RB,"Woodhead, Danny",SDC,10,0,0,0,0,119,425,2,1,55,426,3,48,$3
221,46,RB,"Miller, Lamar",MIA,5,0,0,0,0,215,1034,5,2,36,256,1,48,$16
222,186,RB,"West, Terrance",CLE,11,0,0,0,0,130,479,4,1,10,52,2,48,$2
223,62,RB,"Ellington, Andre",ARI,9,0,0,0,0,223,850,5,2,44,321,1,48,$13
224,202,WR,"Hardy, Justin",ATL,10,0,0,0,0,1,2,0,0,42,435,1,48,$2
225,226,WR,"Austin, Tavon",STL,6,0,0,0,0,28,168,1,0,27,243,1,48,$2
226,377,WR,"Washington, Nate",HOU,9,0,0,0,0,2,9,0,0,36,492,1,48,$1
227,280,TE,"Griffin, Ryan",HOU,9,0,0,0,0,0,0,0,0,17,189,2,47,$0
228,304,WR,"Holmes, Andre",OAK,6,0,0,0,0,1,1,0,0,35,465,2,47,$1
229,304,WR,"Cooper, Riley",PHI,8,0,0,0,0,0,0,0,1,40,426,1,46,$1
